CCPAYMENT_ID,PAYMENT_TYPE,IS_ENCRYPT,CARD_NUMBER,BANKNAME,CCEXPDATE,CCENTRY_METHOD
8305929187,AM,Y,344491990131977,Santander,21,2
16837199743,MC,Y,5500380688224633,Caixabank,19,2
23671563807,VS,Y,4539110207988444,Santander,21,0
24420215195,VS,N,4485200478971866,Abanca,19,0
30601529446,AM,Y,349887415651991,BBVA,23,0
56193830205,BK,Y,6011908151370416,Santander,20,0
72857319254,VS,Y,4532609192410055,Bankinter,16,1
83903386428,BK,Y,6011074817724437,Abanca,18,2
84849632857,MC,N,5497128554475093,Santander,20,0
86106526762,AM,Y,348075118577678,Bankinter,24,2
89816679233,BK,N,6011897603860936,Santander,19,2
109588876497,VS,N,4485314468975389,Santander,21,1
126199252772,AM,Y,375357965579338,BBVA,16,2
146844777230,MC,Y,5330979738242572,Santander,17,2
178691081716,AM,Y,344640226961991,Caixabank,23,2
182243448139,BK,N,6011426006404439,Santander,15,2
184400307427,VS,N,4539189830503812,Caixabank,21,0
247939218073,MC,N,5513366760288401,Abanca,17,2
250984580036,AM,Y,345957680469660,BBVA,23,2
272217526993,BK,Y,6011048379905212,Caixabank,17,0
277212338225,BK,N,6011394717375464,Santander,20,1
290299154239,VS,Y,4532946401669307,Bankinter,20,2
315302452748,VS,Y,4916779413088968,Caixabank,18,2
326874418172,MC,N,5578296537154556,Bankinter,19,2
342706237599,BK,N,6011000191497688,Bankinter,19,2
348987895716,BK,Y,6011869361865456,Bankinter,21,2
355501500143,AM,N,372774671064608,Abanca,19,2
360745157781,AM,Y,373784974906065,BBVA,14,1
367547658124,VS,Y,4243327127791313,Bankinter,18,0
368847419483,BK,N,6011383467257394,Santander,20,2
385553270550,MC,Y,5339887826540628,Santander,18,1
424522890979,MC,Y,5384629164619133,Bankinter,19,2
431217944350,AM,N,342984992552465,BBVA,22,0
438969340853,BK,N,6011400826372472,Bankinter,15,1
451307014518,VS,N,4532967395023152,Santander,17,2
463093417760,VS,Y,4556870133856183,Santander,23,2
